time, mean_OMTO3d_003_ColumnAmountO3
2005-08-18,281.699371
2005-08-19,282.910431
2005-08-20,279.549591
2005-08-21,279.749786
2005-08-22,280.329376
2005-08-23,281.12085
2005-08-24,280.859009
2005-08-25,279.687592
2005-08-26,278.664703
2005-08-27,277.085602
2005-08-28,278.083344
2005-08-29,280.531464
2005-08-30,279.023407
2005-08-31,275.047089
2005-09-01,274.982178
2005-09-02,-1.267651e+30
2005-09-03,279.801575
2005-09-04,281.931335
2005-09-05,281.44043
2005-09-06,278.334686
2005-09-07,276.096344
2005-09-08,278.366364
2005-09-09,277.708435
2005-09-10,277.467743
2005-09-11,278.386169
2005-09-12,279.378601
2005-09-13,277.054535
2005-09-14,272.667236
2005-09-15,268.260132
2005-09-16,269.498444
2005-09-17,273.315033
2005-09-18,273.573761
2005-09-19,273.145264
2005-09-20,272.291351
2005-09-21,273.004425
2005-09-22,275.443817
2005-09-23,278.16983
2005-09-24,276.587433
2005-09-25,273.811096
2005-09-26,270.323486
2005-09-27,271.836121
2005-09-28,269.681549
2005-09-29,265.460632
2005-09-30,263.577362
2005-10-01,264.64798
2005-10-02,262.140594
2005-10-03,263.018188
2005-10-04,-1.267651e+30
2005-10-05,270.086761
2005-10-06,270.95108
2005-10-07,273.2966
2005-10-08,274.057434
2005-10-09,274.439148
2005-10-10,276.662109
2005-10-11,276.41214
2005-10-12,275.281342
2005-10-13,278.587463
2005-10-14,279.832703
2005-10-15,279.515472
2005-10-16,280.215942
2005-10-17,282.750153
2005-10-18,281.667969
2005-10-19,276.808441
2005-10-20,270.833618
2005-10-21,270.086334
2005-10-22,264.617615
2005-10-23,262.744202
2005-10-24,265.342438
2005-10-25,266.272247
2005-10-26,267.031586
2005-10-27,265.95282
2005-10-28,269.446808
2005-10-29,271.141754
2005-10-30,269.561401
2005-10-31,271.808807
2005-11-01,277.415314
2005-11-02,279.783173
2005-11-03,277.814819
2005-11-04,273.010651
2005-11-05,-1.267651e+30
2005-11-06,269.087738
2005-11-07,273.927185
2005-11-08,277.775146
2005-11-09,274.106171
2005-11-10,270.942383
2005-11-11,273.620392
2005-11-12,276.794067
2005-11-13,278.453125
2005-11-14,275.553009
2005-11-15,276.516357
2005-11-16,281.915527
2005-11-17,286.924072
2005-11-18,287.780304
2005-11-19,287.34903
2005-11-20,281.793427
2005-11-21,285.235596
2005-11-22,280.651917
2005-11-23,281.509827
2005-11-24,277.309204
2005-11-25,274.518585
2005-11-26,275.713562
2005-11-27,279.210724
2005-11-28,288.052551
2005-11-29,288.878693
2005-11-30,286.150055
2005-12-01,280.589203
2005-12-02,278.698029
2005-12-03,279.355621
2005-12-04,281.238495
2005-12-05,280.374817
2005-12-06,289.367615
2005-12-07,-1.267651e+30
2005-12-08,294.716339
2005-12-09,295.204163
2005-12-10,294.615356
2005-12-11,291.379456
2005-12-12,290.141235
2005-12-13,290.183533
2005-12-14,288.651123
2005-12-15,291.406036
2005-12-16,287.959412
2005-12-17,283.137665
2005-12-18,282.665131
2005-12-19,284.163025
2005-12-20,293.04422
2005-12-21,296.471802
2005-12-22,289.949249
2005-12-23,290.605865
2005-12-24,284.238556
2005-12-25,279.621948
2005-12-26,269.950562
2005-12-27,270.122711
2005-12-28,278.798309
2005-12-29,281.261292
2005-12-30,282.643799
2005-12-31,284.191376
2006-01-01,289.48407
2006-01-02,301.778656
2006-01-03,312.784851
2006-01-04,313.571564
2006-01-05,310.568146
2006-01-06,309.692566
2006-01-07,312.135071
2006-01-08,-1.267651e+30
2006-01-09,318.463104
2006-01-10,313.480133
2006-01-11,302.499481
2006-01-12,298.472015
2006-01-13,305.597168
2006-01-14,313.552673
2006-01-15,315.753113
2006-01-16,312.109528
2006-01-17,303.220062
2006-01-18,295.084198
2006-01-19,292.408264
2006-01-20,291.747498
2006-01-21,299.09201
2006-01-22,298.864288
2006-01-23,299.338684
2006-01-24,306.858307
2006-01-25,301.295532
2006-01-26,296.747284
2006-01-27,294.197205
2006-01-28,293.111237
2006-01-29,293.966217
2006-01-30,289.417511
2006-01-31,290.051117
2006-02-01,294.329193
2006-02-02,292.483612
2006-02-03,291.808014
2006-02-04,296.007202
2006-02-05,301.869659
2006-02-06,309.019409
2006-02-07,305.745178
2006-02-08,295.06192
2006-02-09,-1.267651e+30
2006-02-10,302.471405
2006-02-11,308.796173
2006-02-12,295.088135
2006-02-13,294.621521
2006-02-14,309.148193
2006-02-15,315.436951
