time, mean_OMTO3d_003_ColumnAmountO3
2005-08-20,290.135132
2005-08-21,288.837677
2005-08-22,287.608215
2005-08-23,290.094299
2005-08-24,295.000305
2005-08-25,294.035736
2005-08-26,293.634918
2005-08-27,289.547943
2005-08-28,290.552216
2005-08-29,290.577332
2005-08-30,291.293121
2005-08-31,292.724823
2005-09-01,257.969604
2005-09-02,283.662018
2005-09-03,283.899323
2005-09-04,287.85379
2005-09-05,289.975983
2005-09-06,288.569122
2005-09-07,287.877167
2005-09-08,287.406342
2005-09-09,289.246887
2005-09-10,289.021423
2005-09-11,284.813385
2005-09-12,285.176849
2005-09-13,284.291443
2005-09-14,284.239166
2005-09-15,286.418732
2005-09-16,292.282715
2005-09-17,292.697998
2005-09-18,286.616302
2005-09-19,280.443298
2005-09-20,278.909515
2005-09-21,278.765198
2005-09-22,277.973602
2005-09-23,283.694824
2005-09-24,286.131317
2005-09-25,277.30899
2005-09-26,271.417358
2005-09-27,274.243134
2005-09-28,279.922791
2005-09-29,278.616272
2005-09-30,277.1409
2005-10-01,281.049042
2005-10-02,284.297546
2005-10-03,308.725891
2005-10-04,283.880615
2005-10-05,279.960266
2005-10-06,277.012299
2005-10-07,277.22757
2005-10-08,282.990326
2005-10-09,280.75473
2005-10-10,274.339783
2005-10-11,272.012207
2005-10-12,274.001099
2005-10-13,275.685852
2005-10-14,276.260712
2005-10-15,278.632965
2005-10-16,274.946808
2005-10-17,271.3815
2005-10-18,277.378845
2005-10-19,280.309723
2005-10-20,280.699707
2005-10-21,279.532379
2005-10-22,285.907684
2005-10-23,288.028351
2005-10-24,286.965027
2005-10-25,287.93631
2005-10-26,289.603363
2005-10-27,289.342072
2005-10-28,285.376892
2005-10-29,277.790222
2005-10-30,274.912872
2005-10-31,273.747681
2005-11-01,272.223724
2005-11-02,271.697601
2005-11-03,274.004395
2005-11-04,282.530975
2005-11-05,287.175629
2005-11-06,286.820435
2005-11-07,281.923553
2005-11-08,280.060547
2005-11-09,275.952728
2005-11-10,278.204987
2005-11-11,277.97052
2005-11-12,276.936279
2005-11-13,277.446747
2005-11-14,283.98584
2005-11-15,286.159698
2005-11-16,283.46814
2005-11-17,282.919159
2005-11-18,280.787109
2005-11-19,285.085938
2005-11-20,285.959442
2005-11-21,287.57312
2005-11-22,290.71817
2005-11-23,294.722382
2005-11-24,292.980774
2005-11-25,292.321564
2005-11-26,291.994995
2005-11-27,292.487518
2005-11-28,295.180359
2005-11-29,299.404388
2005-11-30,300.449707
2005-12-01,304.269012
2005-12-02,308.434204
2005-12-03,306.540405
2005-12-04,311.631653
2005-12-05,319.465118
2005-12-06,351.569458
2005-12-07,317.772552
2005-12-08,310.655212
2005-12-09,301.809814
2005-12-10,297.730682
2005-12-11,293.623779
2005-12-12,290.328857
2005-12-13,289.603638
2005-12-14,297.982666
2005-12-15,310.473022
2005-12-16,322.401398
2005-12-17,322.654877
2005-12-18,317.24527
2005-12-19,310.493591
2005-12-20,306.445312
2005-12-21,309.487732
2005-12-22,304.16394
2005-12-23,304.494263
2005-12-24,305.47702
2005-12-25,308.789734
2005-12-26,308.140991
2005-12-27,298.454681
2005-12-28,298.711914
2005-12-29,301.95459
2005-12-30,298.649109
2005-12-31,292.52002
2006-01-01,282.323212
2006-01-02,282.396118
2006-01-03,283.318481
2006-01-04,286.290497
2006-01-05,294.187805
2006-01-06,297.976471
2006-01-07,389.768768
2006-01-08,302.591888
2006-01-09,309.775574
2006-01-10,308.13382
2006-01-11,308.960419
2006-01-12,306.979187
2006-01-13,301.003845
2006-01-14,300.752167
2006-01-15,305.670349
2006-01-16,306.76297
2006-01-17,310.482941
2006-01-18,323.688141
2006-01-19,327.936249
2006-01-20,324.087524
2006-01-21,322.000183
2006-01-22,320.448303
2006-01-23,313.763702
2006-01-24,311.537476
2006-01-25,306.539429
2006-01-26,308.154114
2006-01-27,307.245422
2006-01-28,313.586731
2006-01-29,322.08313
2006-01-30,328.541718
2006-01-31,327.488007
2006-02-01,326.106445
2006-02-02,329.647644
2006-02-03,331.257996
2006-02-04,328.30246
2006-02-05,327.869354
2006-02-06,320.182648
2006-02-07,323.90683
2006-02-08,499.436127
2006-02-09,322.773926
2006-02-10,315.918274
2006-02-11,317.035583
2006-02-12,319.472168
2006-02-13,304.301025
2006-02-14,295.16571
2006-02-15,296.194855
2006-02-16,310.410248
2006-02-17,314.57663
2006-02-18,313.397064
2006-02-19,317.120483
2006-02-20,328.294678
2006-02-21,346.454834
2006-02-22,347.189362
2006-02-23,350.385681
2006-02-24,339.273682
2006-02-25,330.747162
2006-02-26,342.505798
2006-02-27,341.97226
2006-03-03,337.246796
2006-03-04,324.733978
2006-03-05,327.427429
2006-03-06,339.467133
2006-03-07,343.031128
2006-03-08,340.486053
2006-03-09,333.648376
2006-03-10,329.106171
2006-03-11,325.480988
2006-03-12,323.664429
2006-03-13,319.042419
2006-03-14,321.57074
2006-03-15,327.024536
2006-03-16,332.909393
2006-03-17,344.055023
2006-03-18,350.294281
2006-03-19,348.390076
2006-03-20,348.377411
2006-03-21,349.872711
2006-03-22,349.094879
2006-03-23,346.63562
2006-03-24,348.332886
2006-03-25,354.131927
2006-03-26,360.134155
2006-03-27,357.512329
2006-03-28,355.403687
2006-03-29,347.827118
2006-03-30,332.845764
2006-03-31,327.527893
2006-04-01,325.174225
2006-04-02,324.423676
2006-04-03,325.740295
2006-04-04,336.145081
2006-04-05,347.625092
2006-04-06,343.526672
2006-04-07,340.344849
2006-04-08,339.990967
2006-04-09,337.441986
2006-04-10,338.343445
2006-04-11,330.568268
2006-04-12,330.983063
2006-04-13,337.178345
2006-04-14,335.734131
2006-04-15,332.440826
2006-04-16,327.155304
2006-04-17,333.77121
2006-04-18,336.808258
2006-04-19,339.399261
2006-04-20,335.830719
