time,mean_OMTO3d_003_ColumnAmountO3
2005-09-20,279.980377
2005-09-21,272.886505
2005-09-22,270.930145
2005-09-23,270.084106
2005-09-24,275.206146
2005-09-25,286.07309
2005-09-26,277.859985
2005-09-27,266.358551
2005-09-28,284.750549
2005-09-29,280.032501
2005-09-30,266.102448
2005-10-01,285.390045
2005-10-02,314.025116
2005-10-03,306.360382
2005-10-04,-1.267651e+30
2005-10-05,299.559906
2005-10-06,292.612152
2005-10-07,293.202515
2005-10-08,280.392426
2005-10-09,275.488708
2005-10-10,280.429779
2005-10-11,281.070526
2005-10-12,276.194061
2005-10-13,275.704437
2005-10-14,280.794922
2005-10-15,282.393555
2005-10-16,281.76355
2005-10-17,272.623291
2005-10-18,267.660065
2005-10-19,278.821167
2005-10-20,265.465607
2005-10-21,261.279938
2005-10-22,271.763489
2005-10-23,280.9953
2005-10-24,265.168945
2005-10-25,269.159729
2005-10-26,270.869843
2005-10-27,263.389862
2005-10-28,267.060822
2005-10-29,265.226685
2005-10-30,252.465164
2005-10-31,248.529877
2005-11-01,263.968384
2005-11-02,254.548233
2005-11-03,260.853333
2005-11-04,280.153473
2005-11-05,-1.267651e+30
2005-11-06,273.055084
2005-11-07,260.542999
2005-11-08,246.728745
2005-11-09,271.171692
2005-11-10,270.252686
2005-11-11,273.125519
2005-11-12,297.190918
2005-11-13,300.949982
2005-11-14,303.821594
2005-11-15,303.7164
2005-11-16,291.212646
2005-11-17,292.504456
2005-11-18,303.018341
2005-11-19,303.030426
2005-11-20,297.115723
2005-11-21,292.44104
2005-11-22,299.206329
2005-11-23,298.831818
2005-11-24,286.437531
2005-11-25,310.246307
2005-11-26,313.62619
2005-11-27,303.777191
2005-11-28,316.173737
2005-11-29,309.694427
2005-11-30,285.045715
2005-12-01,300.484741
2005-12-02,327.304382
2005-12-03,331.956726
2005-12-04,326.082214
2005-12-05,319.26886
2005-12-06,309.043488
2005-12-07,-1.267651e+30
2005-12-08,308.252716
2005-12-09,283.651855
2005-12-10,271.763428
2005-12-11,291.543915
2005-12-12,296.486969
2005-12-13,306.442352
2005-12-14,293.099396
2005-12-15,268.028473
2005-12-16,263.640167
2005-12-17,292.560944
2005-12-18,277.882263
2005-12-19,273.102051
2005-12-20,284.420135
2005-12-21,299.022705
2005-12-22,333.41922
2005-12-23,338.332245
2005-12-24,301.740753
2005-12-25,319.867432
2005-12-26,341.891449
2005-12-27,355.721436
2005-12-28,372.614655
2005-12-29,356.649719
2005-12-30,309.843964
2005-12-31,303.577271
2006-01-01,331.584503
2006-01-02,343.621368
2006-01-03,332.761078
2006-01-04,331.24765
2006-01-05,333.878326
2006-01-06,303.194489
2006-01-07,293.198456
2006-01-08,-1.267651e+30
2006-01-09,302.915222
2006-01-10,296.605133
2006-01-11,276.538422
2006-01-12,290.975983
2006-01-13,282.439148
2006-01-14,291.358612
2006-01-15,310.518311
2006-01-16,317.680481
2006-01-17,308.514099
2006-01-18,240.496323
2006-01-19,214.064117
2006-01-20,252.553146
2006-01-21,269.692688
2006-01-22,258.454559
2006-01-23,241.848663
2006-01-24,255.832993
2006-01-25,275.509369
2006-01-26,309.796539
2006-01-27,335.389984
2006-01-28,328.111725
2006-01-29,319.976288
2006-01-30,315.296967
2006-01-31,304.868317
2006-02-01,328.401245
2006-02-02,333.875153
2006-02-03,334.874664
2006-02-04,356.412659
2006-02-05,363.108978
2006-02-06,349.847534
2006-02-07,327.944061
2006-02-08,333.093445
2006-02-09,-1.267651e+30
2006-02-10,338.963867
2006-02-11,341.44754
2006-02-12,335.460693
2006-02-13,316.28476
2006-02-14,324.179718
2006-02-15,304.47168
2006-02-16,319.457428
2006-02-17,344.749573
2006-02-18,345.441528
2006-02-19,359.384766
2006-02-20,404.326569
2006-02-21,412.385956
2006-02-22,400.006256
2006-02-23,407.644196
2006-02-24,405.521576
2006-02-25,388.487854
2006-02-26,369.30896
2006-02-27,348.598114
2006-03-03,379.038055
2006-03-04,378.626007
2006-03-05,422.784241
2006-03-06,401.578552
2006-03-07,334.693207
2006-03-08,327.50589
2006-03-09,318.35376
2006-03-10,401.8992
2006-03-11,398.753052
2006-03-12,341.139496
2006-03-13,337.272675
2006-03-14,348.097565
2006-03-15,361.453674
2006-03-16,365.402893
2006-03-17,355.733856
2006-03-18,360.281403
2006-03-19,356.901459
2006-03-20,316.644562
2006-03-21,323.368652
2006-03-22,376.692322
2006-03-23,344.896637
2006-03-24,359.999207
2006-03-25,320.779724
2006-03-26,304.703888
2006-03-27,333.826904
2006-03-28,378.032257
2006-03-29,365.461243
2006-03-30,316.414398
2006-03-31,335.531097
2006-04-01,347.031464
2006-04-02,362.600922
2006-04-03,359.354523
2006-04-04,365.680939
2006-04-05,388.705109
2006-04-06,373.940033
2006-04-07,360.794617
2006-04-08,360.726746
2006-04-09,354.010406
2006-04-10,397.824799
2006-04-11,361.735962
2006-04-12,370.973938
2006-04-13,348.501617
2006-04-14,338.422699
2006-04-15,342.840363
2006-04-16,355.154846
2006-04-17,365.425934
2006-04-18,357.235046
2006-04-19,362.630829
2006-04-20,365.469727
2006-04-21,368.29657
2006-04-22,373.381714
2006-04-23,355.031403
2006-04-24,359.626251
2006-04-25,332.617523
2006-04-26,339.527802
2006-04-27,354.859039
2006-04-28,357.480133
2006-04-29,366.364929
2006-04-30,386.379669
2006-05-01,351.422272
2006-05-02,344.225677
2006-05-03,353.614563
2006-05-04,346.411987
2006-05-05,344.967072
2006-05-06,351.666931
2006-05-07,355.212799
2006-05-08,399.030426
2006-05-09,394.539185
2006-05-10,390.264526
2006-05-11,360.942078
2006-05-12,358.563354
2006-05-13,370.119232
2006-05-14,334.631042
2006-05-15,321.972473
2006-05-16,335.875122
2006-05-17,314.273499
2006-05-18,315.54129
2006-05-19,349.746094
2006-05-20,355.356567
2006-05-21,328.020966
2006-05-22,358.0961
2006-05-23,381.951813
2006-05-24,373.205872
2006-05-25,342.277954
2006-05-26,316.641083
